"Gene","baseMean","log2FC","lfcSE","stat","PValue","FDR","log2FCabs"
"abgR",249.071895167526,-1.8405559659765,0.326205862509792,-5.6423141871684,1.67779566816408e-08,6.96366648679752e-07,1.8405559659765
"adeD",322.688416685096,-1.04224399719746,0.28378834149891,-3.67261033942601,0.00024008543135337,0.00418924579198227,1.04224399719746
"adhE",172107.721633152,1.88466886467757,0.591819725029364,3.18453202042913,0.00144988269336697,0.019130396648592,1.88466886467757
"aes",260.940043307403,-1.64256257956849,0.282051157085369,-5.82363354414935,5.75817624611639e-09,2.53775293321109e-07,1.64256257956849
"agaV",19.8193928304275,-2.4436870567741,0.778639801343784,-3.1384050141757,0.00169869980827125,0.0219394008470079,2.4436870567741
"agp",6187.14464121665,-2.50563956537651,0.248390786095851,-10.0874899780285,6.27536098109199e-24,1.91622629958345e-21,2.50563956537651
"aldA",16130.0617725993,-6.18597090899103,0.515764746282936,-11.9937838977415,3.8300096990335e-33,1.63732914633682e-30,6.18597090899103
"aldB",1403.2353251011,-2.68389202464838,0.521262893040337,-5.14882616906455,2.62121660203541e-07,9.33808414475114e-06,2.68389202464838
"alsB",143.058016606132,-1.76357403396194,0.350983858669006,-5.02465851463863,5.0432910031126e-07,1.67132318126406e-05,1.76357403396194
"ansB",1267.04195707148,-2.27879488701562,0.601121046568344,-3.7909085034116,0.00015009724458735,0.00289038612887802,2.27879488701562
"aphA",784.592701259556,-2.13667125551715,0.267701195392666,-7.98155291157019,1.44503610086631e-15,1.87197858521318e-13,2.13667125551715
"araA",153.82939131458,-1.30316775556009,0.422974109759172,-3.08096341003488,0.00206332002629069,0.0254468820499514,1.30316775556009
"araD",38.9923230821526,-1.94874355003863,0.497383695290927,-3.91798840309549,8.92910008971557e-05,0.00181770966112067,1.94874355003863
"araF",167.333007866891,-2.63623992299297,0.384474261827375,-6.85673966955066,7.04498423577701e-12,5.5772791866568e-10,2.63623992299297
"argC",1739.20536024184,1.85529220804858,0.626543525610738,2.96115454427543,0.00306488105717498,0.0354013405454196,1.85529220804858
"argF",1930.39818568541,2.64928779980695,0.64876967661908,4.0835567617974,4.43515894875539e-05,0.000943298731638273,2.64928779980695
"argI",1671.27035412683,2.2490757207338,0.714158741432176,3.14926582880368,0.00163681230133014,0.0212041593581405,2.2490757207338
"arrS",2819.10096368339,1.92025448027892,0.533132000480547,3.60183684068499,0.000315976664866236,0.00519538554731984,1.92025448027892
"aslB",91.3120322421823,-1.14658109034916,0.331300031169433,-3.46085415779142,0.000538464440717199,0.00813404764687642,1.14658109034916
"asnT",113.75528738318,-1.72880042707942,0.356167227213044,-4.85390090662477,1.21056243765002e-06,3.80526060364251e-05,1.72880042707942
"aspA",15688.8132792286,-2.20795268765591,0.495816209165283,-4.45316761905191,8.46126482064265e-06,0.00021659824615717,2.20795268765591
"atoC",599.989801530196,-1.89161381187481,0.367530769651691,-5.14681754038579,2.64942799496464e-07,9.360582378904e-06,1.89161381187481
"bglG",16.3242321364511,-1.84280207327143,0.568359397298018,-3.24231829724664,0.00118561524545972,0.0160904926169534,1.84280207327143
"bioD",284.751226763572,1.99103947428239,0.689931456689602,2.88585113053942,0.00390356752480735,0.0426796705078041,1.99103947428239
