,rep1_cond1,rep2_cond1,rep1_cond2,rep2_cond2
aaeA,19.18225336,16.89647064,15.59546316,16.25564793
aaeB,8.928679682,6.076832008,9.004063817,9.458056795
aaeR,76.97652639,68.38841793,51.58457206,52.63063958
aaeX,108.4669235,138.5647683,64.26429861,65.33408586
aas,39.9218538,32.21334786,28.47952037,30.10749876
aat,48.00238319,52.43236406,61.30426428,65.8421866
abgB,10.12658,4.887139133,9.863372812,5.721056023
abgR,9.307392779,8.970301074,10.30167917,8.848021188
abgT,3.622667388,5.695876831,6.132433772,3.611721026
abrB,22.37713036,23.88310532,10.04464808,9.657127996
accA,285.7425517,312.0038907,305.6879666,288.4415407
accB,956.8578924,824.0564224,603.1766912,505.4530728
accC,462.3101319,489.2402206,288.9837608,263.6693461
accD,588.5664212,585.7812477,632.6265078,600.9849513
aceA,1219.31783,889.338332,4001.364562,3182.098853
aceB,1772.235783,1401.077036,4047.399752,3341.792506
aceE,395.2691043,278.5339093,5200.076688,4324.714616
aceF,325.4007706,249.8321253,4089.680984,3631.209867
aceK,123.4537178,99.83216936,394.043129,359.179886
ackA,2034.904404,1646.616204,648.472227,554.1458616
acnA,61.65104287,45.70629863,296.8514672,252.5520559
acnB,128.8827533,100.6434634,1487.285577,1299.168584
acpP,6746.917244,6426.86872,6731.544486,6512.818796
acpS,101.6343614,88.4598824,58.98725272,59.71070676
acpT,73.04915259,91.52453106,71.05247638,69.56401964
acrA,182.8676023,167.9970607,179.6589752,168.0164908
acrB,144.6225647,125.4594851,153.7608257,142.9110714
acrD,10.03162299,12.21965869,11.01074984,9.667065924
acrF,5.763942797,5.077103738,7.098856111,5.476613694
acrR,71.306959,81.37225891,76.25663924,71.63386043
acs,2.325477687,4.162329595,48.31583402,45.2787951
actP,3.549826589,4.94182041,16.06543265,10.30599122
ada,37.88703808,40.83382123,33.95335238,32.14982797
add,23.3820913,22.2431238,35.6568116,26.83243791
ade,8.47110099,7.691005165,12.39268998,9.363494069
adhE,3477.507937,2854.104426,420.3511527,399.3946317
adhP,21.88650089,18.28131388,126.2528276,104.7832254
adiA,12.89567123,16.51625579,9.642396831,9.713955097
adiC,44.26228719,91.41259726,8.506081214,14.42663903
adiY,219.923093,258.9591719,13.99056635,19.6019997
adk,1134.61447,1046.746518,1043.522137,800.9005374
aegA,16.92741383,20.59091837,9.531574626,12.99854749
aer,11.33875138,15.36805427,31.5408626,44.7202775
aes,7.457100994,8.493753829,9.304199277,7.899228916
afuB,2.689262567,10.48264935,3.968733363,6.963507584
afuC,10.25618475,5.191979418,11.83342102,10.09608836
agaA,5.810728047,5.392859574,8.003612282,5.927271336
agaR,121.3222626,144.2889539,108.671269,99.01076154
agaS,3.380787227,5.647794754,5.612922899,4.37706191
agp,42.96757358,34.13914582,45.46979731,38.48431245
ahpC,4545.80261,3962.306042,17089.58541,16784.86831
ahpF,391.2705307,370.0369484,878.2814535,996.5152874
aidB,56.43482,58.17124394,52.71752001,53.84512968
ais,5.396364355,0,9.795465777,7.240662115
alaS,591.6827391,510.5420774,519.2583028,445.3548197
alaV,4.281589087,28.61053921,22.74710859,39.30716781
alaW,47.09747996,14.30526961,32.2250705,93.73247709
alaX,25.68953452,28.61053921,36.01625527,72.56707903
aldA,14.68822923,10.94750494,32.31458459,42.12922088
aldB,13.53193588,14.12866134,15.16473906,14.18492286
alkA,18.01394137,16.00707435,19.34441979,21.38264343
alkB,15.49527479,17.53549178,20.5807173,12.70759909
allA,27.62201159,12.3801298,16.70319085,15.70033076
allB,5.256106427,2.394714736,5.182955971,4.555422362
allC,10.00423081,7.916508423,9.907384135,7.250836781
allR,231.6885389,244.4868749,222.1002408,211.7725542
alr,71.70868834,100.1633785,73.36644591,65.95989128
alsB,5.910056732,6.969233911,9.54276849,4.664657324
alsE,7.948007329,9.372418018,7.658628994,4.292162002
alsK,8.854442738,11.09388255,11.20039036,8.709459923
alx,4.042245598,5.064598556,8.351595424,6.184978786
amiA,79.29306135,74.97934415,117.7358965,114.369609
amiB,67.3662283,63.37940077,74.8319803,70.58748383
amiC,100.1632356,101.8708593,105.3489827,109.0338688
amn,153.6428381,131.136554,221.9888503,185.100082
ampC,26.68630659,27.32382184,23.50267099,20.46681726
ampD,79.58171021,60.07176621,57.6782059,55.36745432
ampE,46.81204069,38.14738562,48.19017079,37.89614127
ampG,35.4942575,34.98782065,40.11566644,37.20947447
ampH,38.49732779,45.53473555,36.57609343,45.0463172
amtB,17.19289231,19.00700158,20.8205858,15.35542698
amyA,82.44360923,93.88794555,113.180114,120.4574497
ansA,58.2329796,64.14162184,59.07090834,56.71458537
ansB,62.15869544,73.20690979,18.57571905,16.46101363
ansP,6.72494926,9.060004084,21.60975316,16.54529402
apaG,198.8560265,162.5048352,159.6911212,167.179448
apaH,84.53471977,81.89469884,73.3142278,73.60006237
aphA,31.90203634,27.40841572,27.23918466,18.66688168
appA,175.8516867,226.8139591,73.41881751,99.24204458
appB,208.6342672,273.9515747,83.87954613,135.6138509
appC,306.4453859,385.2700766,96.78931512,139.8110066
appY,127.1232344,136.2624614,8.451814569,8.27264701
apt,409.1089399,324.9784074,339.2835641,312.2224868
aqpZ,11.22071623,12.49655736,15.11026801,12.5463197
araA,6.278524516,7.233536195,8.339093036,4.433850138
araC,55.15894747,36.48738846,36.22112589,39.99857769
araE,11.92448208,15.32347414,14.21360321,13.76507313
araF,2.629501177,5.490911566,9.458814515,7.659858343
araG,8.806225476,13.27604559,13.40803166,10.01090397
araH,27.93845,26.90546667,26.48468064,27.15767958
araJ,18.94738664,16.97317221,18.11450476,17.64676226
arcA,788.3140008,802.8907385,1019.305233,1166.926537
arcB,96.77087531,95.83367607,75.63875946,72.17376153
