UniProtID,GeneName
P31946,1433B
P62258,1433E
Q04917,1433F
P61981,1433G
P31947,1433S
P27348,1433T
P63104,1433Z
Q96QU6,1A1L1
Q4AC99,1A1L2
Q15172,2A5A
Q15173,2A5B
Q14738,2A5D
Q16537,2A5E
Q13362,2A5G
P30153,2AAA
P30154,2AAB
P63151,2ABA
Q00005,2ABB
Q66LE6,2ABD
Q9Y2T4,2ABG
P14060,3BHS1
P26439,3BHS2
Q9H2F3,3BHS7
Q9Y3L3,3BP1
P78314,3BP2
Q7L8J4,3BP5L
O60239,3BP5
P46952,3HAO
P31937,3HIDH
P29372,3MG
P11171,41
Q13541,4EBP1
Q13542,4EBP2
O60516,4EBP3
Q9NRA8,4ET
P08195,4F2
P08908,5HT1A
P28222,5HT1B
P28221,5HT1D
P28566,5HT1E
P30939,5HT1F
P28223,5HT2A
P41595,5HT2B
P28335,5HT2C
P46098,5HT3A
O95264,5HT3B
Q8WXA8,5HT3C
Q70Z44,5HT3D
A5X5Y0,5HT3E
Q13639,5HT4R
P47898,5HT5A
P50406,5HT6R
P34969,5HT7R
Q9BXI3,5NT1A
Q96P26,5NT1B
Q9H0P0,5NT3A
Q969T7,5NT3B
P49902,5NTC
P21589,5NTD
P52209,6PGD
O95336,6PGL
P05408,7B2
P36639,8ODP
P0DKL9,A14EL
Q8IZ83,A16A1
Q676U5,A16L1
Q8NAA4,A16L2
P02763,A1AG1
P19652,A1AG2
P20848,A1ATR
P01009,A1AT
P04217,A1BG
Q9NQ94,A1CF
Q8NF67,A2012
Q5TYW2,A20A1
Q5SQ80,A20A2
Q5VUR7,A20A3
Q4UJ75,A20A4
A0PJZ0,A20A5
Q96IX9,A26L1
P08697,A2AP
P02750,A2GL
P01023,A2MG
A8K2U0,A2ML1
A7E2S9,A30BL
U3KPV4,A3LT2
Q5T5F5,A4AS1
Q9NPC4,A4GAT
Q9UNA3,A4GCT
P05067,A4
Q96GX2,A7L3B
P30542,AA1R
P29274,AA2AR
P29275,AA2BR
P0DMS8,AA3R
Q9NS82,AAA1
P22760,AAAD
Q9NRG9,AAAS
Q15758,AAAT
Q86V21,AACS
P01011,AACT
Q8N5Z0,AADAT
Q6PD74,AAGAB
Q2M2I8,AAK1
Q9Y478,AAKB1
O43741,AAKB2
P54619,AAKG1
Q9UGJ0,AAKG2
Q9UGI9,AAKG3
Q9H7C9,AAMDC
Q13685,AAMP
Q13131,AAPK1
P54646,AAPK2
Q9Y312,AAR2
Q4LEZ3,AARD
P86434,AAS1
Q9BTE6,AASD1
Q9UDR5,AASS
Q8NHS2,AATC2
P17174,AATC
Q9NY61,AATF
P00505,AATM
Q7Z5M8,AB12B
Q96GS6,AB17A
Q5VST6,AB17B
Q6PCB6,AB17C
Q7Z5R6,AB1IP
P31941,ABC3A
Q9UH17,ABC3B
Q9NRW3,ABC3C
Q96AK3,ABC3D
Q8IUX4,ABC3F
Q9HC16,ABC3G
Q6NTF7,ABC3H
O95477,ABCA1
Q9BZC7,ABCA2
Q99758,ABCA3
P78363,ABCA4
Q8WWZ7,ABCA5
Q8N139,ABCA6
Q8IZY2,ABCA7
O94911,ABCA8
Q8IUA7,ABCA9
Q8WWZ4,ABCAA
Q4W5N1,ABCAB
Q86UK0,ABCAC
Q86UQ4,ABCAD
Q2M3G0,ABCB5
Q9NP58,ABCB6
O75027,ABCB7
Q9NP78,ABCB9
Q9NRK6,ABCBA
O95342,ABCBB
Q09428,ABCC8
O60706,ABCC9
Q96J66,ABCCB
P33897,ABCD1
Q9UBJ2,ABCD2
P28288,ABCD3
O14678,ABCD4
P61221,ABCE1
Q8NE71,ABCF1
Q9UG63,ABCF2
Q9NUQ8,ABCF3
P45844,ABCG1
Q9UNQ0,ABCG2
Q9H172,ABCG4
Q9H222,ABCG5
Q9H221,ABCG8
Q8N2K0,ABD12
Q0P651,ABD18
P41238,ABEC1
Q9Y235,ABEC2
Q8WW27,ABEC4
Q6UXT9,ABH15
Q96SE0,ABHD1
P08910,ABHD2
Q8WU67,ABHD3
Q8TB40,ABHD4
Q8WTS1,ABHD5
Q9BV23,ABHD6
Q96I13,ABHD8
Q9NUJ1,ABHDA
Q8NFV4,ABHDB
Q7L211,ABHDD
Q9BUJ0,ABHEA
Q96IU4,ABHEB
O95870,ABHGA
Q9H3Z7,ABHGB
Q8IZP0,ABI1
Q9NYB9,ABI2
Q9P2A4,ABI3
Q9NX38,ABITM
P00519,ABL1
P42684,ABL2
O14639,ABLM1
Q6H8Q1,ABLM2
O94929,ABLM3
Q9P1F3,ABRAL
Q8N0Z2,ABRA
Q6UWZ7,ABRX1
Q15018,ABRX2
Q12979,ABR
Q9ULW3,ABT1
Q969K4,ABTB1
Q8N961,ABTB2
Q13085,ACACA
O00763,ACACB
Q9UKU7,ACAD8
Q9H845,ACAD9
P28330,ACADL
P11310,ACADM
P16219,ACADS
P49748,ACADV
Q15027,ACAP1
Q15057,ACAP2
Q96P50,ACAP3
O00400,ACATN
Q8NC06,ACBD4
Q5T8D3,ACBD5
Q9BR61,ACBD6
Q8N6N7,ACBD7
Q96GR2,ACBG1
Q5FVE4,ACBG2
P07108,ACBP
Q6JQN1,ACD10
Q709F0,ACD11
P45954,ACDSB
Q96AP0,ACD
Q9BYF1,ACE2
Q8TDN7,ACER1
Q5QJU3,ACER2
Q9NUN7,ACER3
P22303,ACES
P12821,ACE
Q9GZZ6,ACH10
Q15822,ACHA2
P32297,ACHA3
P43681,ACHA4
P30532,ACHA5
Q15825,ACHA6
P36544,ACHA7
Q9UGM1,ACHA9
P02708,ACHA
P17787,ACHB2
Q05901,ACHB3
P30926,ACHB4
P11230,ACHB
Q07001,ACHD
Q04844,ACHE
P07510,ACHG
Q9UKV3,ACINU
Q07912,ACK1
Q6P4H8,ACKMT
Q16570,ACKR1
O00590,ACKR2
P25106,ACKR3
